Input_Set,Lookback,Horizon,MAE,RMSE,MAPE,sMAPE,NRMSE,Directional_Accuracy,AUHE,Train_Time_sec,Inference_Time_sec,Num_Parameters,Model_Size_MB,FLOPs
w/o_Copper_Lead_Nickel_Tin,10,10,54.87092208862305,73.86178630768755,2.2367384284734726,2.245691604912281,0.0640883174739018,0.47426308842938847,20.222657453268766,120.69291806221008,0.0003168205361911628,4410,0.01682281494140625,7840.0
w/o_Copper_Lead_Nickel_Zinc,10,10,56.05556106567383,75.00586240109003,2.2827640175819397,2.2898295894265175,0.06508100596529279,0.4755829300483942,20.627374341711402,90.25976848602295,0.000330433118378312,4410,0.01682281494140625,7840.0
w/o_Copper_Nickel_Tin_Zinc,10,10,69.13687133789062,89.71845066999876,2.7794407680630684,2.8234677389264107,0.07784681340877501,0.4945006599208095,25.117824599146843,63.12164807319641,0.0003171512458331424,4410,0.01682281494140625,7840.0
w/o_Lead_Tin_Zinc,10,10,58.803245544433594,77.9383019204935,2.388300746679306,2.4030502885580063,0.06762542393616114,0.484381874175099,21.5907062869519,94.09285569190979,0.0003235046465026319,4410,0.01682281494140625,11712.0
w/o_Lead_Nickel_Tin,10,10,57.16007614135742,76.27939686913335,2.3106804117560387,2.3311814293265343,0.06618602694761722,0.4735298430854964,20.895487954840064,442.04593873023987,0.0010476986334121122,4410,0.01682281494140625,11712.0
w/o_Lead_Nickel_Zinc,10,10,56.98745346069336,76.33476973380152,2.3187022656202316,2.328718453645706,0.06623407392853506,0.4780759642176272,20.95279097557068,466.557874917984,0.0016115529795895573,4410,0.01682281494140625,11712.0
w/o_Nickel_Tin_Zinc,10,10,59.014625549316406,78.19220234660551,2.390611544251442,2.40731630474329,0.06784572642692512,0.47426308842938847,21.615194575861096,325.853351354599,0.0015613420967482401,4410,0.01682281494140625,11712.0
w/o_Copper_Lead_Tin,10,10,58.901851654052734,77.73176032034782,2.380543574690819,2.4008523672819138,0.06744621094809174,0.4864349611379968,21.528230281546712,554.9345164299011,0.0013063789462763543,4410,0.01682281494140625,11712.0
w/o_Copper_Lead_Zinc,10,10,56.56624984741211,75.54043890629872,2.2948384284973145,2.3083213716745377,0.06554484667333238,0.4747030356357237,20.753281097859144,477.44362473487854,0.0013040632796077784,4410,0.01682281494140625,11712.0
w/o_Copper_Tin_Zinc,10,10,75.25324249267578,95.83176176247622,2.987755835056305,3.0382929369807243,0.08315120539799682,0.4771960698049567,26.932336669415236,389.9696481227875,0.0014522645480471972,4410,0.01682281494140625,11712.0
w/o_Copper_Lead_Nickel,10,10,54.52712631225586,73.0720127201157,2.23013237118721,2.2329360246658325,0.06340304889803072,0.47382314122305325,20.149081852287054,476.3975918292999,0.001935430985392014,4410,0.01682281494140625,11712.0
w/o_Copper_Nickel_Tin,10,10,55.67533874511719,74.49024356732062,2.2703055292367935,2.2787032648921013,0.06463361562203425,0.48628831206921835,20.515763387084007,401.2930233478546,0.0015259715469002374,4410,0.01682281494140625,11712.0
w/o_Copper_Nickel_Zinc,10,10,54.51544952392578,73.04046930469437,2.2223858162760735,2.2300634533166885,0.06337567575582967,0.4744097374981669,20.102888625115156,503.9664030075073,0.0015585761615607746,4410,0.01682281494140625,11712.0
w/o_Lead_Tin,10,10,59.7740364074707,78.9877611168338,2.429182454943657,2.439078688621521,0.06853601948040938,0.4744097374981669,21.953259082511067,419.5507266521454,0.0010706777097193028,4410,0.01682281494140625,15776.0
w/o_Lead_Zinc,10,10,58.70166778564453,78.07802337645978,2.3876169696450233,2.3969441652297974,0.06774666014565817,0.4732365449479396,21.575470501556993,379.34525084495544,0.0015819792873349007,4410,0.01682281494140625,15776.0
w/o_Tin_Zinc,10,10,59.41825485229492,77.69411488833147,2.437831833958626,2.4365847930312157,0.06741354853367335,0.48584836486288313,22.030968824401498,319.72200751304626,0.0015850458676514387,4410,0.01682281494140625,15776.0
w/o_Lead_Nickel,10,10,54.83797836303711,73.46738421210293,2.233238145709038,2.242630161345005,0.0637461035474003,0.4757295791171726,20.198782766237855,432.93919587135315,0.0013443154673422537,4410,0.01682281494140625,15776.0
w/o_Nickel_Tin,10,10,54.709163665771484,72.87637018973469,2.2420844063162804,2.242930978536606,0.06323329569719355,0.4823287872122012,20.218578213825822,447.09099864959717,0.0009801062670621004,4410,0.01682281494140625,15776.0
w/o_Nickel_Zinc,10,10,55.93402099609375,74.9367115784213,2.2788535803556442,2.2879043594002724,0.06502101012786397,0.47616952632350784,20.605006953701377,522.7775464057922,0.001058038029153326,4410,0.01682281494140625,15776.0
w/o_Copper_Lead,10,10,57.07686996459961,75.7977720391157,2.3154625669121742,2.3294156417250633,0.0657681347232578,0.4725032996040475,20.938925677910447,392.05979466438293,0.001267363249032029,4410,0.01682281494140625,15776.0
